Entrez_ID,Gene,E2f1,Mycn,Zfx,Myc,Klf4,Tcfcp2l1,Esrrb,Nanog,Oct.04,Sox2,Stat3,Smad1
11287,Pzp,7.47E-15,1.185343114,0.462235509,1.840617722,14.52676047,0.569254498,2.805543886,4.420077702,16.73076887,9.763008012,9.80667901,11.46972118
11298,Aanat,0.082978176,11.90122556,20.00608545,6.287450492,23.69791308,46.07532295,15.22574263,17.01568604,22.29378793,25.2279346,4.899191258,30.35293666
11302,Aatk,1.401813595,25.36629217,71.66877528,11.68357548,71.72649125,51.33618211,7.744904179,20.08969113,33.10956224,20.43966801,33.99099551,39.03652668
11303,Abca1,12.69736414,12.71878871,33.71331222,5.209289252,28.54704572,35.41310768,3.889841838,16.30299945,29.41890578,45.23692317,48.95846163,21.33699788
11304,Abca4,4.93E-05,3.944841107,3.301406535,5.083782122,20.42695806,22.80878484,14.03100148,10.88116143,40.12552307,30.52639806,16.17102623,39.85379716
11306,Abcb7,10.5806991,24.72995727,2.173864314,20.01563353,9.167479343,6.08943646,3.60399074,13.3658764,29.37005711,28.49420828,1.14075426,26.66966926
11307,Abcg1,0.796298396,26.27411937,45.45654233,10.8813574,67.03815755,44.35729184,12.47518101,16.81890299,30.3568366,80.98417784,13.66340346,63.33264273
11350,Abl1,4.165863857,5.964934769,45.10417057,4.415055231,24.95837814,34.0554782,15.19174718,14.60939199,35.59438491,59.42217525,12.93179064,34.89496707
11352,Abl2,4.776701354,48.1706926,87.58809487,23.83114216,52.92386796,20.93418928,3.40111123,6.760679031,30.25512797,30.54718316,3.314838758,37.41179708
11354,Scgb1b27,7.20E-09,0.004429692,2.326002076,0,4.716097465,11.01485642,4.203386278,5.573125597,3.450991031,0.422700267,8.60484142,7.655723875
11363,Acadl,6.588970996,15.20044866,77.38412756,13.72103264,47.69981295,24.99068738,6.679300121,14.71241828,19.6703624,20.55446661,7.47082236,10.49751008
11364,Acadm,0.08222608,22.45580942,32.37542232,17.39635312,74.28430369,23.08154572,24.3261924,25.02325583,28.66994661,43.11426762,10.11092464,46.73204711
11370,Acadvl,3.048111585,13.34039315,35.71715806,9.72638734,55.14100698,29.35568747,10.99272204,25.81983997,21.66942595,51.37437806,10.66160527,43.36259405
