ENSG00000237613,0
ENSG00000240361,0
ENSG00000186092,0
ENSG00000238009,1.28475
ENSG00000239945,0.0700505
ENSG00000233750,0.0803359
ENSG00000237683,6.9732
ENSG00000255865,0.241026
ENSG00000239906,11.9491
ENSG00000241860,2.07196
ENSG00000222623,0
ENSG00000241599,0.23019
ENSG00000239368,3.73707
ENSG00000228463,0.521692
ENSG00000241670,3.70007
ENSG00000240876,0.242509
ENSG00000237094,23.598
ENSG00000250575,0.387437
ENSG00000256645,0.0863449
ENSG00000233653,0.0286095
ENSG00000256186,0
ENSG00000236601,1.90586
ENSG00000224813,1.95526
ENSG00000235249,0
ENSG00000236812,0.365643
ENSG00000236743,0.0535056
ENSG00000236679,0.796425
ENSG00000231709,0.0394795
ENSG00000230021,1.83452
ENSG00000229376,0.0388753
ENSG00000223659,0
ENSG00000225972,682.372
ENSG00000243329,0
ENSG00000240155,0
ENSG00000225630,939.842
ENSG00000244275,0
ENSG00000238916,49983
ENSG00000240369,0
ENSG00000240414,0
ENSG00000237973,2253.42
ENSG00000241800,0
ENSG00000239530,0
ENSG00000229344,620.418
ENSG00000242368,0
ENSG00000240409,5.74567
ENSG00000248527,781.517
ENSG00000198744,627.629
ENSG00000236201,0.365643
ENSG00000185097,0
ENSG00000224956,4.13658
ENSG00000256470,0.381606
ENSG00000235373,0.368951
ENSG00000223181,0
ENSG00000240618,4.31737
ENSG00000228327,1.80896
ENSG00000229905,0.375572
ENSG00000237491,0.813119
ENSG00000242937,0.923217
ENSG00000241768,0.845564
ENSG00000197049,0.347994
ENSG00000230092,0.536418
ENSG00000240453,0.211896
ENSG00000177757,0.134466
ENSG00000225880,0.994637
ENSG00000228794,30.6512
ENSG00000230368,0.0142312
ENSG00000221146,0
ENSG00000234711,0
ENSG00000256461,0
ENSG00000230699,0.0453638
ENSG00000241180,0
ENSG00000223764,0
ENSG00000256610,0.0132552
ENSG00000187961,15.6014
ENSG00000188290,0
ENSG00000231702,0
ENSG00000224969,0.163426
ENSG00000187608,595.873
ENSG00000188157,48.1107
ENSG00000242590,0.525494
ENSG00000217801,31.5773
ENSG00000237330,0
